state,metropolitan_nonmetropolitan,county,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,year
ARKANSAS,Metropolitan County,Craighead,54,1,18,1,34,147,29,99,19,2,2024
ARKANSAS,Metropolitan County,Crawford,70,0,8,1,61,219,32,158,29,1,2024
ARKANSAS,Metropolitan County,Crittenden,135,0,17,4,114,216,44,137,35,2,2024
ARKANSAS,Metropolitan County,Faulkner,88,3,18,3,64,419,64,286,69,6,2024
ARKANSAS,Metropolitan County,Garland,322,1,31,11,279,919,344,450,125,0,2024
ARKANSAS,Metropolitan County,Grant,44,0,8,0,36,111,34,69,8,1,2024
ARKANSAS,Metropolitan County,Little River,29,0,6,1,22,62,19,39,4,1,2024
ARKANSAS,Metropolitan County,Lonoke,129,2,28,1,98,335,78,191,66,5,2024
ARKANSAS,Metropolitan County,Madison,73,1,14,0,58,97,32,49,16,1,2024
ARKANSAS,Metropolitan County,Miller,44,0,10,0,34,115,29,69,17,1,2024
ARKANSAS,Metropolitan County,Perry,23,0,2,1,20,80,19,53,8,0,2024
ARKANSAS,Metropolitan County,Poinsett,51,2,7,1,41,81,21,50,10,1,2024
ARKANSAS,Metropolitan County,Pulaski,448,7,24,23,394,1166,213,760,193,14,2024
ARKANSAS,Metropolitan County,Saline,162,6,27,2,127,546,284,210,52,3,2024
ARKANSAS,Metropolitan County,Sebastian,22,0,1,0,21,62,21,35,6,0,2024
ARKANSAS,Metropolitan County,Washington,146,3,22,1,120,266,84,134,48,3,2024
ARKANSAS,Nonmetropolitan County,Arkansas,31,0,3,2,26,57,15,32,10,0,2024
ARKANSAS,Nonmetropolitan County,Ashley,5,0,0,0,5,92,15,68,9,0,2024
ARKANSAS,Nonmetropolitan County,Baxter,40,0,7,1,32,143,34,91,18,3,2024
ARKANSAS,Nonmetropolitan County,Boone,49,0,9,0,40,136,9,110,17,4,2024
ARKANSAS,Nonmetropolitan County,Bradley,17,0,2,0,15,46,12,19,15,1,2024
ARKANSAS,Nonmetropolitan County,Calhoun,14,0,0,0,14,23,6,15,2,0,2024
ARKANSAS,Nonmetropolitan County,Carroll,24,0,5,0,19,61,15,33,13,2,2024
ARKANSAS,Nonmetropolitan County,Chicot,2,0,0,0,2,54,8,46,0,0,2024
